video,width,height,question,answer,qid
320,110,200,how many men ride the water ride into the water,two,FRAMEQA45715
61160,480,270,what is the young guy sitting on a chair and playing,guitar,FRAMEQA13512
24613,300,240,what is smelling another dogs butt on the floor,dog,FRAMEQA30803
76508,500,280,what did the woman with blonde hair light,cigarette,FRAMEQA32705
1125,260,462,what do the woman with a plant in her hand open,door,FRAMEQA9213
930,180,320,what is the color of the dress,white,FRAMEQA3101
75609,350,197,what plays with the lid of a trash can,cat,FRAMEQA22823
97618,500,210,how many korean men is dancing hip hop in sync in a dance studio,seven,FRAMEQA49158
34349,500,375,what is licking itself and falls over,cat,FRAMEQA29307
23156,245,200,how many white clothed men kisses goodbye in front of a man with plaid shirt,two,FRAMEQA15727
70351,400,225,what are dropping bombs onto the desert,airplanes,FRAMEQA46968
100744,600,236,what is the color of the shirt,black,FRAMEQA10291
96923,400,170,what is the color of the car,red,FRAMEQA3944
24661,180,144,what tries to get onto the shelf but rolls off,puppy,FRAMEQA27493
34544,380,285,what is the color of the shirt,yellow,FRAMEQA51208
31108,320,240,what is the person roughly applying to one eye,mascara,FRAMEQA17970
12729,275,275,what is the guy in a white shirt wearing is dancing on the pavement,hat,FRAMEQA16916
78652,298,166,what is driving through the forest,car,FRAMEQA40155
99167,500,204,what gets bright and then dimmer,lamps,FRAMEQA20259
81678,350,192,what is the color of the animal,white,FRAMEQA31548
6279,228,282,what checks out something it can crawl into,cat,FRAMEQA46561
63168,339,191,how many people are squatting down then jumping high up into the air,two,FRAMEQA52867
74991,500,281,what are two man cheers and talking to each other and smile,beer,FRAMEQA2936
5290,245,320,what is the man in a black suit jacket holding scratches his head and then points to himself,money,FRAMEQA7880
4741,240,320,what does the young man point his hands at a door and opens,door,FRAMEQA25513
67175,415,233,what is driving through the desert spraying sand in all directions,vehicle,FRAMEQA7391
89408,500,250,how many dark haired men are wearing tuxedos and one blows the hair out of his face,two,FRAMEQA51559
67011,315,177,what is the man wearing a gray hat is peddling,bicycle,FRAMEQA40930
96010,321,140,what is the color of the dress,green,FRAMEQA26928
66633,329,185,what are racing on the track and one of them spins out,motorcycles,FRAMEQA27611
38918,245,172,how many young man are kissing another young man on his cheeks,two,FRAMEQA22155
57620,320,180,what walk along the ice one slips then one completely falls over,penguins,FRAMEQA37367
31612,320,240,how many young women move around and fall,three,FRAMEQA9415
63657,356,200,what is driving on the bridge,car,FRAMEQA11667
79425,500,279,what is the color of the girl,white,FRAMEQA33507
68199,500,281,what is the color of the shirt,red,FRAMEQA49916
42074,474,316,what is the color of the clouds,white,FRAMEQA28865
16905,250,250,how many men sing and play the guitar together,two,FRAMEQA38331
75439,250,141,what is looking through the hole,dog,FRAMEQA1419
26495,185,140,what is the color of the dress,red,FRAMEQA52160
95766,250,111,how many woman is trying to save another one from drowning,one,FRAMEQA38742
41519,402,270,what is the color of the shirt,black,FRAMEQA12889
16665,500,500,what are three hands moving up and down,bottle,FRAMEQA12014
80836,428,237,how many guys is this doing some kind of hand jive,two,FRAMEQA16028
95507,500,221,what is the boy with the earring smoking,cigarette,FRAMEQA35475
45054,250,160,what is the man with red hair holding while touching his hair,microphone,FRAMEQA29287
59708,320,181,what is the color of the dog,white,FRAMEQA23155
76799,500,281,what is the color of the hair,black,FRAMEQA30859
38594,500,357,what is the color of the coats,black,FRAMEQA18108
55645,331,187,what is the color of the car,yellow,FRAMEQA42696
5665,202,258,what is wearing a coat is wagging its tail a cat looks scared,zebra,FRAMEQA17816
89913,500,250,what is the color of the dress,black,FRAMEQA30531
27906,250,189,what is the color of the hair,black,FRAMEQA31044
69158,500,281,what is the woman showing off,headphones,FRAMEQA35786
59396,320,180,what is the man using a top hat and a mask opens trunk,car,FRAMEQA30493
56588,750,422,what is the color of the hair,black,FRAMEQA42750
78456,245,137,where does the man stand up as a female is driving him,car,FRAMEQA4325
79245,320,179,how many white men are holding each other and almost kiss,two,FRAMEQA33671
41106,297,200,what is playing with the blanket,cat,FRAMEQA51534
93783,500,230,what is the color of the suit,black,FRAMEQA37081
68940,500,281,what is the color of the gown,black,FRAMEQA556
14375,245,245,what is the man wearing black and glasses is talking and throwing,roses,FRAMEQA21571
12309,200,200,what are the group of men wearing and dancing,shirts,FRAMEQA7453
37072,254,186,what did some people in a pickup truck put into a dumpster,ladder,FRAMEQA41895
79782,325,180,how many guys does there s wrestling in a ring,two,FRAMEQA15880
66176,360,202,what is shooting at two targets in the distance,gun,FRAMEQA41085
20408,245,220,what is the color of the jacket,black,FRAMEQA22460
94384,500,228,what is the color of the shirt,black,FRAMEQA28386
74723,600,337,what is the young man in a black tee adjusting,sleeves,FRAMEQA11112
55412,298,168,what is the color of the shirt,white,FRAMEQA6338
48308,260,157,what is balancing on someones legs and falls through to the floor,cat,FRAMEQA52919
63250,275,155,where are the group of guys clapping,alley,FRAMEQA11638
34199,270,203,what is the man smashing with his bare hands,computer,FRAMEQA21976
42918,320,213,what is the man wearing and a hat is walking pass a stack of bags,coat,FRAMEQA38065
51516,245,140,what is the color of the flag,red,FRAMEQA36759
34129,310,233,what is captain kirk of the enterprise lifting,cup,FRAMEQA49603
99910,500,200,what is the boy wearing and singing into a microphone,hat,FRAMEQA26201
5758,245,310,what does the woman spin around and changes,costume,FRAMEQA16548
22179,382,322,what flips himself upside down trying to escape from another cat,kitten,FRAMEQA24298
19520,249,233,how many young men in black suits were laughing,three,FRAMEQA5610
71086,400,225,what is playing with the large lizard and jumps back,kitten,FRAMEQA16911
21632,245,210,what is turning round,ball,FRAMEQA52728
95877,500,220,what is the woman with long blonde hair wearing,hat,FRAMEQA29459
31431,320,240,what is the color of the coat,black,FRAMEQA46772
65071,260,146,what is the color of the car,yellow,FRAMEQA13956
8870,239,267,what is the man with long hair blowing,rings,FRAMEQA28795
95456,499,221,how many turtles swim together and high five,two,FRAMEQA40876
50690,315,183,what is the color of the shirt,white,FRAMEQA43845
56182,540,304,what is the color of the hair,blue,FRAMEQA13374
78543,245,137,what is the girl in a blue dress standing in front of a bed and slashes with a pair of scissors,shirt,FRAMEQA45766
9711,280,300,what is wearing a bumblebee costume turns around and then falls over,cat,FRAMEQA9992
33491,320,240,what is the color of the man,white,FRAMEQA35295
14227,320,320,how many girls are smiling and making the hand sign under their chins and one waves,two,FRAMEQA3103
65864,360,202,how many men are trying to put each other on hold,two,FRAMEQA3360
89443,500,250,what is the man with long hair smoking,cigarette,FRAMEQA1610
11281,248,250,what is the color of the man,brown,FRAMEQA37122
13065,180,180,what is the color of the shirt,red,FRAMEQA17621
73741,500,281,what is the color of the hair,black,FRAMEQA38472
33012,320,240,what suddenly stand hunches back and patters away,cat,FRAMEQA4480
75033,400,225,what is chasing the dog,cat,FRAMEQA33583
73595,400,225,what cuddles into the arms of a dog,cat,FRAMEQA1897
12770,210,210,how many man is bending down behind bus seats while another man is looking around,one,FRAMEQA20187
98192,461,192,where is the person heading out the window,car,FRAMEQA246
32813,320,240,what is the white man with blue shirt bloodied,suit,FRAMEQA44607
7389,500,600,what is the color of the dress,red,FRAMEQA39566
22044,470,399,what is person holding and shaking their head,microphone,FRAMEQA51152
42909,320,213,what is the group of people saluting,flag,FRAMEQA1966
90604,400,198,what are running through a room knock a baby over,dogs,FRAMEQA46283
86429,500,260,how many people are on stage and wave their hands,two,FRAMEQA24582
86263,500,260,where is the man leaning,studio,FRAMEQA25925
31276,480,360,what does the man with blood on his chin play,drums,FRAMEQA47651
72072,400,225,what is the person touching,dog,FRAMEQA41578
38333,245,175,what is the color of the hair,brown,FRAMEQA28903
89130,300,150,what is backing up away from its owner,dog,FRAMEQA5260
52257,471,268,what are running across the snow together,kittens,FRAMEQA49943
46150,400,251,what is the color of the chairs,white,FRAMEQA14255
87171,500,256,how many boys lean back as the flame in a jar flares up,two,FRAMEQA52811
77909,344,193,what is the woman having applied to her face,makeup,FRAMEQA31080
11989,245,245,what is the young man,jacket,FRAMEQA6819
71383,400,225,what does the man with a scar drink from a bottle,alcohol,FRAMEQA12500
54157,432,244,how many lightning flashes are seen in the storm,two,FRAMEQA8297
43863,245,160,how many people are standing in front of a microphone,two,FRAMEQA33123
18141,334,331,where are two guys wearing hats are walking,hall,FRAMEQA43843
82045,500,275,what is the woman tilting down,sunglasses,FRAMEQA30699
40996,292,198,how many men are talking while wearing head phones,two,FRAMEQA30267
61757,320,180,what is the person putting into a stereo,tape,FRAMEQA16667
71367,250,141,how many cats look at each other and then touch paws,two,FRAMEQA29790
43160,230,153,where is the man pulling a face,bed,FRAMEQA49564
38432,245,175,how many men enter the room during a party,two,FRAMEQA38892
48842,500,300,what does the man kick together while running,heels,FRAMEQA5741
11705,400,400,what is the woman holding,hat,FRAMEQA52230
90301,318,159,what are racing down the track,cars,FRAMEQA2582
44207,440,288,what is the person wearing smiling and nodding,tie,FRAMEQA1847
95800,500,220,how many people are looking at each other and smiling,two,FRAMEQA39795
16869,245,245,what is talking and pointing his fingers,sunglasses,FRAMEQA4564
29584,320,240,what is the color of the hat,blue,FRAMEQA44226
18074,245,243,where are two guys they look out the window and the driver winks,car,FRAMEQA25979
85936,432,227,what is the color of the liquid,brown,FRAMEQA37677
43574,245,160,what is the color of the hair,black,FRAMEQA4641
16239,288,288,what are going off in the sky at night,fireworks,FRAMEQA9021
90416,250,125,how many men on stage with guitars the one puts his hand on his chin,two,FRAMEQA25438
100990,500,190,how many teams of footballers are playing on a pitch,two,FRAMEQA16662
89297,500,250,how many women with long hair are standing in a line and ducking down in turn,three,FRAMEQA39733
25192,291,229,what is the man splashing with red paint,canvas,FRAMEQA51471
13967,245,245,what is rolling around in the pink round bowl,rabbit,FRAMEQA22037
79342,500,279,what are there three buffaloes and they are tossing around,lion,FRAMEQA2856
58336,320,180,how many guys are fighting in front of a lot of people,two,FRAMEQA9713
47030,245,150,what is the color of the shirt,black,FRAMEQA39835
18951,271,259,what is frightened and stands on its back legs,creature,FRAMEQA45166
55461,331,186,what are being driven around the track one is smoking,cars,FRAMEQA24478
64090,260,146,what is the young man wearing and smiling,earpiece,FRAMEQA39720
53358,245,138,what is running away,armor,FRAMEQA49027
21436,305,264,what is the color of the shirt,white,FRAMEQA46170
54447,359,202,what is the person sitting and playing,guitar,FRAMEQA5658
84072,280,150,what picks up the firework and runs with it causing people to frantically move out of the way,dog,FRAMEQA20090
98910,500,207,what is the color of the outfit,white,FRAMEQA26167
9566,249,268,what is the color of the hair,brown,FRAMEQA49794
26054,320,247,what are the woman and man both wearing and talking,hats,FRAMEQA12723
33482,320,240,what walks around being cute and stuff,kitten,FRAMEQA27583
82813,280,152,what looks at the child and then lays down,camel,FRAMEQA33241
69085,500,281,how many woman are dressed alike laughing,three,FRAMEQA30850
55660,331,186,what tries to take the corner and spins of the track,car,FRAMEQA38430
94549,300,136,what are racing on the sharp curve,cars,FRAMEQA1571
66645,329,185,what veers off of the track and into the grass,car,FRAMEQA51738
19230,350,331,what is the color of the coat,black,FRAMEQA4222
90306,311,154,what is the color of the cat,gray,FRAMEQA44028
46668,340,210,what is the color of the man,black,FRAMEQA38928
32866,320,240,what is the young man with long hair playing,guitar,FRAMEQA5602
66068,360,202,what falls head over heels in a zoo,panda,FRAMEQA1269
26951,385,291,how many women are hugging,two,FRAMEQA23680
90141,500,250,what is the color of the jacket,brown,FRAMEQA41215
49064,245,146,what is the color of the dress,black,FRAMEQA32547
69695,500,281,what is the man smoking and wearing,headphones,FRAMEQA9738
68936,400,225,what is the person scratching,hair,FRAMEQA3566
22196,380,320,what is the color of the shorts,blue,FRAMEQA25685
65037,260,146,where is the woman in a pink shirt dancing,kitchen,FRAMEQA10056
63505,356,200,what is the color of the car,purple,FRAMEQA24998
60913,320,180,what is scared the white cat,parrot,FRAMEQA39872
49367,399,236,where is the boy wearing bat wings,room,FRAMEQA16225
19481,350,329,what is the man singing and another man is playing,guitar,FRAMEQA45344
76622,400,225,what is the color of the shirt,gray,FRAMEQA40476
33385,280,210,how many turtle is sitting by the edge of the pool,one,FRAMEQA44555
85938,260,136,how many men each place their right hand by their ear and place their left hand flat and move it from side to side,three,FRAMEQA16257
6865,245,300,what is the color of the negligee,black,FRAMEQA6225
38516,320,229,what is the color of the man,white,FRAMEQA46352
62686,499,281,what is the color of the shirt,white,FRAMEQA52814
75368,400,225,what does the woman tease with a bit of carrot,horse,FRAMEQA37625
66876,346,195,what is following the blue race car,car,FRAMEQA49224
10650,239,244,how many men is holding pool cues are hugging,two,FRAMEQA37897
41845,500,334,what falls over and the bottle smashes,trolley,FRAMEQA39936
32893,320,240,what is knocking over the display of toilet paper,cleaner,FRAMEQA50585
40324,410,282,what is playing with the ball in a field,horse,FRAMEQA6220
35199,260,195,what is cleaning itself on its back,rat,FRAMEQA21337
9194,500,550,what is the color of the girl,white,FRAMEQA7253
61786,320,180,what is the color of the hair,yellow,FRAMEQA5627
28773,320,240,how many men are in the room,two,FRAMEQA46909
6018,240,300,what is this getting a shower,dog,FRAMEQA17091
3153,245,351,where is an animated plant dancing,pot,FRAMEQA17250
11004,196,200,what is the color of the pail,green,FRAMEQA8815
45509,500,317,how many friends stare at each other and the other one looks away,two,FRAMEQA38499
17547,303,303,what is the color of the hair,black,FRAMEQA49337
82903,550,298,how many males is wearing jumpers and glasses are sitting at a desk with a laptop on it,two,FRAMEQA4837
72368,400,225,how many kittens are playing together in the grid of boxes,three,FRAMEQA4051
63008,370,208,how many men are splashing in the water outside,two,FRAMEQA5983
71996,400,225,what is the color of the puppy,white,FRAMEQA44257
2933,160,233,how many people are lying down and kissing each other,two,FRAMEQA48558
10037,331,350,what is the raccoon jumping off a dumpster and hitting,wall,FRAMEQA46311
38119,416,298,where is the man hugging a woman,room,FRAMEQA20112
11176,320,324,what is the color of the dress,blue,FRAMEQA34203
37109,500,367,how many girls are messing around,four,FRAMEQA14853
69028,250,141,what is the color of the shirt,blue,FRAMEQA1209
60140,320,180,how many men is wearing sunglasses are dancing in sync,two,FRAMEQA7419
70570,250,141,what does the squirrel stuff into his mouth,acorn,FRAMEQA24247
41336,245,165,what are two men riding built for two,bicycle,FRAMEQA26087
10584,200,207,where is the man dancing backwards,stadium,FRAMEQA28747
61567,480,270,what is the color of the background,blue,FRAMEQA32113
34609,340,255,what opens the window and looks through,dog,FRAMEQA35090
83912,500,268,how many guys is riding a motor bike and the driver takes his hand and puts on his stomach,two,FRAMEQA1773
75033,400,225,what is the color of the cat,gray,FRAMEQA45127
84192,494,264,what does the man hold up,figurine,FRAMEQA7021
65775,360,202,how many jumps does the gymnast with red uniform finish,eight,FRAMEQA29965
25957,245,188,what is playing on the floor,cat,FRAMEQA18490
72262,400,225,what sits in its bed,cat,FRAMEQA19337
87480,331,168,what is the color of the car,yellow,FRAMEQA15656
40516,260,178,what is the color of the dress,red,FRAMEQA15185
47153,245,150,how many men are dancing in front of the trees,two,FRAMEQA38537
79883,508,283,what is walking around on the person s fingers,butterfly,FRAMEQA32985
78346,331,185,what drifts successfully around the corner,car,FRAMEQA1034
45024,250,161,what is there eating a raspberry,tortoise,FRAMEQA12872
18707,358,347,what does the man pop without looking at it,balloon,FRAMEQA18633
44774,249,160,what is the color of the glove,white,FRAMEQA20219
64409,260,146,what is sticking his head through a window,horse,FRAMEQA13860
45154,245,157,what is the color of the shirt,black,FRAMEQA1332
75857,500,281,what is the driver driving very angry on the street,cars,FRAMEQA17910
78365,331,185,what drives off the road and crashes into a barrier,car,FRAMEQA12592
48016,370,225,what gray are playing in the mud,rhinos,FRAMEQA52676
92383,500,240,what runs from the man trying to catch it,dog,FRAMEQA50966
39520,245,170,what is the color of the table,red,FRAMEQA40861
34148,302,227,what is the woman being fed by her mate,popcorn,FRAMEQA33343
4141,202,271,what is trying to fit through some wooden bars,cat,FRAMEQA27519
90998,245,120,what is the color of the shirt,black,FRAMEQA10979
66237,360,202,how many women smile and walk with each other,two,FRAMEQA14935
58863,480,270,what does the man with a red cloak rescue from an exploding rocket,capsule,FRAMEQA3792
94549,300,136,how many cars are racing on the sharp curve,two,FRAMEQA7785
73906,500,281,what is man eating moving the bag closer,snack,FRAMEQA37015
96165,500,218,how many girls is this practicing dance jumps,four,FRAMEQA46695
101809,450,150,what is the person kicking into a goal,ball,FRAMEQA36499
97634,500,210,what are two young people chewing and looking at each other,gum,FRAMEQA41687
70300,500,281,what drives along the motorway at night,car,FRAMEQA46253
80891,491,270,what is the female singer holding and she is singing,microphone,FRAMEQA3235
27860,250,188,what pulls the worm when scurrying away,spider,FRAMEQA2055
594,179,318,what is copying the baby who is jumping,dog,FRAMEQA6908
75643,450,253,what is the color of the cap,white,FRAMEQA38556
44670,245,158,how many people are kissing in the shadow,two,FRAMEQA41500
79243,320,179,what is the guy riding down the road,skateboard,FRAMEQA38036
31208,320,240,what is the blonde haired person wearing,glasses,FRAMEQA6082
13055,350,350,what is rolling in the snow,dog,FRAMEQA26694
36998,300,220,what is walking up stairs on its back feet,dog,FRAMEQA16250
79791,540,301,what is the color of the shirt,black,FRAMEQA7727
98214,384,160,what are soccer players passing in a field when one player makes a goal,ball,FRAMEQA41598
2426,212,320,what are the group of young women wearing,coats,FRAMEQA6621
46597,284,177,what are jumping in the waves in the ocean,dolphins,FRAMEQA32672
57153,320,180,how many men with striped shirt is kissed in the mouth,two,FRAMEQA32666
89686,500,250,what is the man with a beard wearing and he leans forward to talk,hat,FRAMEQA16840
86811,500,258,what does the man drop down while bending down,microphone,FRAMEQA18603
62151,480,270,what is turning its head to the side,dog,FRAMEQA35934
13577,250,250,how many teams are there playing soccer and trying to score a goal,two,FRAMEQA33010
101643,450,160,what does the soccer player kick into the goal net,ball,FRAMEQA33224
80429,363,200,what is playing to women and runs,dog,FRAMEQA22233
40965,325,221,what is the color of the jacket,black,FRAMEQA31342
10857,245,250,what is on fire as a man brings pizzas into a room,floor,FRAMEQA2893
2289,229,350,what is jumping over the ball,cat,FRAMEQA49044
64317,260,146,what are checking out the squirrel outside the back door,cats,FRAMEQA8894
28111,386,290,where is the zoom in close up of two men one of them bald the other with a beard are standing,ship,FRAMEQA17827
33598,320,240,what is the color of the man,black,FRAMEQA15742
98085,211,88,what are the three men playing on stage,guitar,FRAMEQA9685
9236,245,268,how many men in black t shirts who is a are is smiling,two,FRAMEQA23950
41771,405,270,where is the guy skateboarding down the stairs,subway,FRAMEQA9220
70962,500,280,how many young woman are comforting each other,two,FRAMEQA9873
23828,238,195,what does the handsome man put on the head,cap,FRAMEQA49464
57788,480,270,how many people are sitting in the sand on a beach facing the ocean,two,FRAMEQA35645
33642,320,240,what does the man hold and nuzzles,cat,FRAMEQA51479
101324,500,185,what is touching the man s hand,robot,FRAMEQA35076
84287,451,240,how many owls are sat on perches,two,FRAMEQA48441
76169,350,197,how many men are waving at someone in the distance,two,FRAMEQA52043
41610,400,268,how many woman are singing and performing the song,two,FRAMEQA34782
99744,400,160,how many teams are playing football and one scores a goal,two,FRAMEQA1041
2584,500,750,what is the color of the jacket,black,FRAMEQA45038
33168,320,240,how many girls with bracelets on their wrists are hugging each other,two,FRAMEQA20247
41549,280,188,what is the color of the hat,black,FRAMEQA37577
45581,381,240,how many race cars speed around the corner on the road,two,FRAMEQA4490
78230,331,185,what are racing with double drivers,drivers,FRAMEQA19436
45193,266,170,what is it attacking a child,bird,FRAMEQA40053
25184,300,236,what is the color of the man,white,FRAMEQA39593
97122,500,212,what is being exploited by some person,building,FRAMEQA20649
74739,500,281,what is the color of the suit,white,FRAMEQA24529
37988,500,360,where is the man checking himself out,mirror,FRAMEQA7432
30087,320,240,what is the color of the hair,brown,FRAMEQA50716
46333,245,153,what is the color of the woman,black,FRAMEQA24810
55447,331,187,what are running on the freeway and almost hit each other,trucks,FRAMEQA32207
4954,230,307,what is the small monkey taking,bath,FRAMEQA35766
43465,321,210,what is there attacking a wall,cat,FRAMEQA15077
73350,400,225,what is the man playing on a dark stage,guitar,FRAMEQA32975
43553,250,165,what is sniffing the baby bunny on a couch,kitty,FRAMEQA41182
18820,350,337,what is the color of the cat,orange,FRAMEQA34659
50407,245,142,how many people is it hugging and kissing each other,two,FRAMEQA753
87461,420,215,what is there looking up and down as bubbles are blown towards it,cat,FRAMEQA27676
18277,245,240,what does the white and gray rabbit eat,raspberry,FRAMEQA27632
28489,240,180,how many men are dancing together doing an artistic choreography,two,FRAMEQA29656
2422,200,302,what is the color of the man,white,FRAMEQA1203
67279,333,187,how many long haired women are kissing each other,two,FRAMEQA4353
5231,245,321,what is the color of the man,white,FRAMEQA6697
101041,500,190,what is the color of the hair,brown,FRAMEQA16496
34704,300,225,what is the color of the bowl,white,FRAMEQA51763
26185,395,303,what does the dog bother and then the cat hits the dog,cat,FRAMEQA33553
73476,500,281,where is the man waving his hand,room,FRAMEQA38584
773,202,360,what is turning on the garden tap,parrot,FRAMEQA46858
34876,300,225,what is the dog wearing a black collar flicks back from its nose onto its head,hat,FRAMEQA39934
69645,500,281,what does the person throw up to another person on the third floor of a building,box,FRAMEQA6305
81590,245,135,where does the kitty take a bath,cup,FRAMEQA28445
45878,500,314,what is walking along some tiles and turning,panda,FRAMEQA14556
100634,540,214,how many boys in swim trunks are jumping into a lake,two,FRAMEQA2318
94612,500,226,what is the color of the skin,white,FRAMEQA14821
73663,250,140,how many woman are walking down the street,two,FRAMEQA22109
12291,300,300,where are some girls and they are dancing,room,FRAMEQA14088
54618,390,220,what is the person wearing head,wolf,FRAMEQA34437
76083,500,281,what is the color of the car,red,FRAMEQA38945
10899,245,250,how many people are on stage singing and dancing,two,FRAMEQA40102
70721,400,225,how many man is making hand gestures next to another man,one,FRAMEQA31254
98811,500,206,what is the man standing near a river and swinging around,sword,FRAMEQA35899
15724,500,500,what is the color of the hair,black,FRAMEQA21250
79637,450,251,what is the color of the suit,gray,FRAMEQA34519
50588,500,290,what is the color of the man,black,FRAMEQA34438
79278,356,199,what is driving fast around the racetrack,car,FRAMEQA48740
76023,500,281,how many fingers does the man in a white shirt hold up,three,FRAMEQA35847
34023,350,263,what is flipping around on the ground next to a cat statue,cat,FRAMEQA48065
39224,300,210,what is the blonde woman wearing,stick,FRAMEQA26987
82371,400,219,how many men with coat is giving a hand shake,two,FRAMEQA33138
34126,318,239,how many rabbits are jumping up in the air outside,two,FRAMEQA44192
90282,350,175,what is the color of the team,white,FRAMEQA24923
62495,480,270,how many men talk into the boom microphone that is in front of them,two,FRAMEQA26821
12698,100,100,what is the color of the pants,red,FRAMEQA46130
30065,480,360,what is kissing the man s head,dog,FRAMEQA22231
1083,260,462,what is laying under a blanket is licking his lips and yawning,dog,FRAMEQA34571
69870,400,225,what roll over in the box while another kitten pounces in the background,kittens,FRAMEQA1673
57899,480,270,what does the man place next to him in the bed,picture,FRAMEQA6279
59074,320,180,how many person are sitting on separate chairs and holding hands,two,FRAMEQA12057
91193,500,245,what is the man playing and the other man is holding a plush doll,guitar,FRAMEQA11210
62070,320,180,what is the color of the cat,orange,FRAMEQA39562
4292,192,256,what is the person wearing a black shirt is smoking,cigarette,FRAMEQA31171
81200,480,265,how many woman are singing on the stage and waving their right hands,two,FRAMEQA46699
8817,250,281,what is the color of the snow,white,FRAMEQA40069
54045,400,226,what does the man barely escape,machine,FRAMEQA8328
83158,500,271,what is the color of the eyes,black,FRAMEQA27550
62794,435,244,what is walking and raising its legs high,horse,FRAMEQA4838
13410,245,245,what is the girl with black dress turning along,balloons,FRAMEQA14631
17260,245,245,what is the color of the hair,red,FRAMEQA43485
85220,500,264,what is the color of the top,blue,FRAMEQA36517
65319,570,321,what is setting in the sky above rooftops,moon,FRAMEQA27073
99322,540,220,how many men on a stage play their guitars,two,FRAMEQA47057
73567,500,281,what is the guy wearing he is singing into a microphone,sweatband,FRAMEQA36089
70315,400,225,what are the man on stage playing,guitar,FRAMEQA6161
90015,540,271,what is the color of the suit,black,FRAMEQA16460
40116,220,152,what is constantly jumping as it tries to get out of its cage,dog,FRAMEQA14589
98645,400,166,what is there a man firing,weapon,FRAMEQA34472
83292,500,271,what is the man with dark hair talking and rubbing on his face,phone,FRAMEQA49109
94184,500,230,what is the color of the hair,red,FRAMEQA46498
70046,500,281,what is the color of the claps,black,FRAMEQA44490
54079,354,200,what spins in circles,car,FRAMEQA2380
18625,259,250,where are three small kittens moving around,container,FRAMEQA10334
4510,360,480,what is dipped into the bowl of milk and it is poured back into the bowl,spoon,FRAMEQA45003
33315,384,288,what is the man holding up,toy,FRAMEQA12934
79392,500,279,what is the color of the shirt,blue,FRAMEQA11402
101445,500,180,what is the color of the couch,black,FRAMEQA15667
21756,268,230,where is the young man singing a song,car,FRAMEQA14991
60104,320,180,how many men are riding in the car,two,FRAMEQA5581
7655,290,345,what is unscrewing the cap on a container,cat,FRAMEQA7891
73714,200,113,how many men are being interviewed,three,FRAMEQA47444
95549,500,221,what is the color of the man,brown,FRAMEQA8685
5710,377,479,what is looking at the fish and got scared and fell in the water,dog,FRAMEQA22227
54031,400,226,what is sneaking up on the fake cat,cat,FRAMEQA13150
93200,500,234,what is the color of the hat,black,FRAMEQA25178
2389,191,288,how many fingers is the girl with long dark hair holding up,two,FRAMEQA739
31434,320,240,how many women are sitting on the couch eating some fruit,two,FRAMEQA2581
22249,350,295,what is the color of the bird,yellow,FRAMEQA12207
11051,441,448,what is the color of the characters,blue,FRAMEQA706
69796,450,253,what is the color of the snow,white,FRAMEQA46369
86759,500,258,what is wearing the costume with horns,dog,FRAMEQA48486
56155,445,250,how many young men are smiling at each other,two,FRAMEQA32433
44405,246,161,what is charging at the baby elephant,lamb,FRAMEQA44418
38027,320,230,what are looking around,owls,FRAMEQA23306
81368,245,135,what is the man riding with a woman on the back,motorcycle,FRAMEQA30954
91659,260,126,what is driving down the narrow path with a wall on one side and a railing and cliff on the other,vehicle,FRAMEQA43165
51110,320,184,what is the color of the coat,brown,FRAMEQA25795
32685,200,150,how many young boys in glasses are dancing and yelling,two,FRAMEQA33935
46306,399,249,what is stealing the cookie from a baby and bouncing away,rabbit,FRAMEQA17664
86702,245,127,how many men sit on the couch and talk into a microphone,two,FRAMEQA31903
30761,360,270,what is the color of the hat,white,FRAMEQA19468
17851,245,245,what does the man sign,ball,FRAMEQA11541
22114,245,207,what is jumping over the back of a tan dog,fox,FRAMEQA4391
61567,480,270,how many women are dancing in silhouette in front of a blue background,five,FRAMEQA8758
40015,300,209,how many kids are fighting over the snacks,two,FRAMEQA19956
84787,500,266,how many people are sitting and playing the hand game,two,FRAMEQA29141
4645,156,208,what makes the turn off an empty road,car,FRAMEQA24279
24378,500,400,what is the color of the hair,black,FRAMEQA4050
93749,260,121,what is the color of the man,black,FRAMEQA30387
14773,260,260,what is the fluffy white cat scratching on a glass door,paws,FRAMEQA8877
43014,260,173,what wears the leash as he paws at a window to get in,dog,FRAMEQA28512
72740,400,225,what is being tormented by a human being,cat,FRAMEQA31184
54849,500,283,what is the man holding with his head and neck,phone,FRAMEQA25147
46658,450,278,what is flying high above the sky,airplane,FRAMEQA44551
20896,395,350,what is the person in a bunny costume sitting on a toilet and patting,seat,FRAMEQA24581
16297,160,160,what does the horse give a woman,kiss,FRAMEQA12329
5568,245,315,what is the color of the dress,black,FRAMEQA42482
17869,480,480,what is parked on the road,car,FRAMEQA38069
45121,250,160,what is being ridden along the road,motorcycle,FRAMEQA38687
35828,320,239,what is the color of the costumes,red,FRAMEQA48097
3660,250,345,what does the boy kiss on its nose which causes it to fall over,dog,FRAMEQA9990
3469,322,450,what is the color of the shirt,black,FRAMEQA11801
77105,268,150,what is the color of the dress,white,FRAMEQA27767
15302,245,245,what is the color of the women,white,FRAMEQA47315
73823,400,225,how many race cars speed around the bend and blow a sign off of a fence,two,FRAMEQA38643
95691,500,221,where are two dancers dancing,piece,FRAMEQA40049
93931,500,230,what does the man play,guitar,FRAMEQA7509
51188,640,368,what moves through the car park,car,FRAMEQA23185
3482,268,375,what is the color of the hair,red,FRAMEQA11208
